molecule_chembl_id;canonical_smiles;standard_value;clase
CHEMBL5194719;COc1ccc(/C=C\C(=O)c2ccc(Br)c3cc(-c4ccc(F)cc4)oc23)cc1;0.0551;active
CHEMBL5203711;O=C(/C=C\c1ccc(OC(F)(F)F)cc1)c1ccc(Br)c2cc(-c3ccc(F)cc3)oc12;0.176;active
CHEMBL39541;CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)c1nccs1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C;0.5;active
CHEMBL3086414;Cc1nc(-c2ccccc2)c(C(=O)N2CCN(c3cccc(C)c3C)CC2)o1;0.53;active
CHEMBL3086392;Cc1nc(-c2ccccc2)c(C(=O)N2CCN(c3ccccc3)CC2)o1;0.62;active
CHEMBL3086418;Cc1nc(-c2ccccc2)c(C(=O)N2CCN(c3cc(Cl)cc(Cl)c3)CC2)o1;0.67;active
CHEMBL3086441;COc1cc(OC)cc(N2CCN(C(=O)c3oc(C)nc3-c3ccccc3F)CC2)c1;0.71;active
CHEMBL3086438;Cc1nc(-c2ccccc2F)c(C(=O)N2CCN(c3cc(Cl)cc(Cl)c3)CC2)o1;0.73;active
CHEMBL3086439;Cc1nc(-c2cccc(F)c2)c(C(=O)N2CCN(c3cc(Cl)cc(Cl)c3)CC2)o1;0.77;active
CHEMBL542922;COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1N.Cl;1.01;active
CHEMBL5169466;CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)NCCc1ccccn1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C;1.2;active
CHEMBL4575066;CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/C(=O)c2ccccc2)[nH]c1=O;1.4;active
CHEMBL2024544;CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cc(F)ccc2F)[nH]c1=O;2.6;active
