molecule_chembl_id;canonical_smiles;standard_value;clase;Molecule;num_atoms;heavy_atoms;molecular_weight;log_p
CHEMBL5194719;COc1ccc(/C=C\C(=O)c2ccc(Br)c3cc(-c4ccc(F)cc4)oc23)cc1;0.0551;active;<rdkit.Chem.rdchem.Mol object at 0x7f54e9340350>;45;29;450.0266846920004;6.906100000000004
CHEMBL5203711;O=C(/C=C\c1ccc(OC(F)(F)F)cc1)c1ccc(Br)c2cc(-c3ccc(F)cc3)oc12;0.176;active;<rdkit.Chem.rdchem.Mol object at 0x7f54e9340660>;45;32;503.9984192560003;7.796100000000004
CHEMBL39541;CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)c1nccs1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C;0.5;active;<rdkit.Chem.rdchem.Mol object at 0x7f54e9340820>;123;55;784.4921048960019;5.190400000000006
CHEMBL3086414;Cc1nc(-c2ccccc2)c(C(=O)N2CCN(c3cccc(C)c3C)CC2)o1;0.53;active;<rdkit.Chem.rdchem.Mol object at 0x7f54e9340580>;53;28;375.19467704000067;4.229260000000004
CHEMBL3086392;Cc1nc(-c2ccccc2)c(C(=O)N2CCN(c3ccccc3)CC2)o1;0.62;active;<rdkit.Chem.rdchem.Mol object at 0x7f54e9340740>;47;26;347.16337691200056;3.612420000000003
CHEMBL3086418;Cc1nc(-c2ccccc2)c(C(=O)N2CCN(c3cc(Cl)cc(Cl)c3)CC2)o1;0.67;active;<rdkit.Chem.rdchem.Mol object at 0x7f54e9340900>;47;28;415.0854322080005;4.919220000000004
CHEMBL3086441;COc1cc(OC)cc(N2CCN(C(=O)c3oc(C)nc3-c3ccccc3F)CC2)c1;0.71;active;<rdkit.Chem.rdchem.Mol object at 0x7f54e93409e0>;55;31;425.1750844680007;3.7687200000000027
CHEMBL3086438;Cc1nc(-c2ccccc2F)c(C(=O)N2CCN(c3cc(Cl)cc(Cl)c3)CC2)o1;0.73;active;<rdkit.Chem.rdchem.Mol object at 0x7f54e9340e40>;47;29;433.07601039600047;5.058320000000005
CHEMBL3086439;Cc1nc(-c2cccc(F)c2)c(C(=O)N2CCN(c3cc(Cl)cc(Cl)c3)CC2)o1;0.77;active;<rdkit.Chem.rdchem.Mol object at 0x7f54e9340890>;47;29;433.07601039600047;5.058320000000004
CHEMBL542922;COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1N.Cl;1.01;active;<rdkit.Chem.rdchem.Mol object at 0x7f54e9340ac0>;46;24;351.12373586400065;3.8954000000000026
